filename,label,location,text_description
1.jpg,Abnormal_Tide,Kovalam Beach Kerala,Fishermen report unusual tidal activity near Kovalam Beach Kerala
2.jpg,High_Waves,Kolkata Coast,"Huge waves crashing near Kolkata Coast, boats overturned"
3.jpg,Flood,Chennai Marina,Flooding reported in low lying areas of Chennai Marina
4.jpg,no_hazard,Kanyakumari Beach,"Sunny weather at Kanyakumari Beach, peaceful situation"
5.jpg,no_hazard,Visakhapatnam,"Fishing boats operating safely at Visakhapatnam, no hazard reported"
6.jpg,Abnormal_Tide,Chennai Marina,Sea level behaving abnormally at Chennai Marina
7.jpg,Abnormal_Tide,Kovalam Beach Kerala,Sea level behaving abnormally at Kovalam Beach Kerala
8.jpg,no_hazard,Andaman Islands,"A calm evening at Andaman Islands, no hazard observed"
9.jpg,Abnormal_Tide,Diu Beach,Sudden drop and rise in tides noticed at Diu Beach
10.jpg,Flood,Visakhapatnam,Flooding reported in low lying areas of Visakhapatnam
11.jpg,no_hazard,Kochi Harbor,"Fishing boats operating safely at Kochi Harbor, no hazard reported"
12.jpg,High_Waves,Odisha Coast,"Huge waves crashing near Odisha Coast, boats overturned"
13.jpg,Tsunami,Kochi Harbor,People evacuating Kochi Harbor due to tsunami threat
14.jpg,Tsunami,Nagapattinam,Earthquake tremors followed by sea water rushing in at Nagapattinam
15.jpg,Storm_Surge,Kolkata Coast,Strong winds pushing seawater inland near Kolkata Coast
16.jpg,no_hazard,Visakhapatnam,"Sunny weather at Visakhapatnam, peaceful situation"
17.jpg,Storm_Surge,Lakshadweep Islands,"Dangerous storm surge observed at Lakshadweep Islands, authorities alerted"
18.jpg,Storm_Surge,Nicobar Islands,"Dangerous storm surge observed at Nicobar Islands, authorities alerted"
19.jpg,Tsunami,Lakshadweep Islands,People evacuating Lakshadweep Islands due to tsunami threat
20.jpg,Storm_Surge,Diu Beach,Waves reaching inland houses near Diu Beach due to cyclone surge
21.jpg,High_Waves,Mangalore Coast,"Strong waves hitting the shore at Mangalore Coast, people moving inland"
22.jpg,Tsunami,Lakshadweep Islands,People evacuating Lakshadweep Islands due to tsunami threat
23.jpg,High_Waves,Visakhapatnam,"Huge waves crashing near Visakhapatnam, boats overturned"
24.jpg,Tsunami,Kolkata Coast,"Sudden rise of sea water near Kolkata Coast, tsunami suspected"
25.jpg,Abnormal_Tide,Pondicherry Beach,Sea level behaving abnormally at Pondicherry Beach
26.jpg,High_Waves,Nicobar Islands,"Strong waves hitting the shore at Nicobar Islands, people moving inland"
27.jpg,Abnormal_Tide,Nagapattinam,Unusual tide patterns observed at Nagapattinam
28.jpg,High_Waves,Chennai Marina,"Strong waves hitting the shore at Chennai Marina, people moving inland"
29.jpg,Tsunami,Visakhapatnam,"Sudden rise of sea water near Visakhapatnam, tsunami suspected"
30.jpg,High_Waves,Tuticorin Coast,Unusually strong currents observed at Tuticorin Coast
31.jpg,Storm_Surge,Mangalore Coast,Strong winds pushing seawater inland near Mangalore Coast
